City,Latitude,Longitude
Manta,-0.967653,-80.70891
Babahoyo,-1.801926,-79.534645
Quito,-0.21861,-78.50972
Ibarra,0.339176,-78.122234
Libertad,-2.233333,-80.9
Santo Domingo,-0.25221,-79.17284
Machala,-3.258611,-79.955278
Guayaquil,-2.170998,-79.922359
Cuenca,-2.897414,-79.00453
Playas,-2.62986,-80.37997
Loja,-3.99313,-79.20422
Latacunga,-0.933333,-78.61667
Ambato,-1.241667,-78.619545
Guaranda,-1.609097,-79.011261
Salinas,-2.214015,-80.973988
Daule,-1.86218,-79.97773
Esmeraldas,0.95921,-79.65397
Riobamba,-1.663551,-78.654645
El Carmen,-0.265308,-79.45645
Cayambe,0.040704,-78.159666
Quevedo,-1.022512,-79.460403
Puyo,-1.48371,-77.98723
